,banco,fecha,texto,src,rt,fav,palabras,country,type,place,desde,sigue_a,lo_siguen
70,BancoAzteca,2020-10-17 18:06:24,"BancoAzteca Como puedo recuperar mi dinero transferencia no hecha por el cliente, ya que es una persona invidente, no usa aplicaciones ni nada de eso, esto fue en la suc 9698, paseo del bosque en Izcalli, cajera Frida Alejandra, gerente Alberto Hdz que no sabe protocolos",Twitter for Android,0,0,"cliente,transferencia,aplicacion,dinero",,,,2019-11-21 16:01:20,29,0
71,BancoAzteca,2020-10-17 18:01:55,"Hoy me di una vuelta por VanGoghAliveMx. Si están empezando a salir con todas las medidas de cuidado y sana distancia por el COVID, este es un plan familiar 100% recomendable. Sin aglomeraciones. No tocas nada. Solo disfrutas. Está espectacular. 👊🏻 MustWantedG BancoAzteca https://t.co/8W17op8AO5",Twitter for iPhone,2,0,,,,,2012-02-25 14:30:50,1238,361
72,BancoAzteca,2020-10-17 17:58:06,"CarmenJ04711418 Buenas Tardes, quedamos a tus ordenes para apoyarte con la situación que hayas presentado.",S1Gateway,0,0,,,,,2010-09-06 15:09:31,2987,26722
73,BancoAzteca,2020-10-17 17:53:21,"BancoAzteca que pasa no hay filtros de seguridad vaciaron cta de ahorro no hay seguimiento de queja cancelaron cta, mucho cuidado con poner ahi su dinero, miles de quejas y no hay respuesta dan no. de tel para seguimiento y no existe",Twitter for Android,0,0,"respuesta,seguridad,queja,dinero",,,,2019-11-21 16:01:20,29,0
75,BancoAzteca,2020-10-17 17:24:34,"BancoAzteca Al dar de alta una cuenta nueva, no la acepta y sale un recuadro que dice "" la app no funciona, intente mas tarde""",Twitter for Android,0,0,"cuenta,app",,,,2013-02-27 22:37:44,86,6
76,BancoAzteca,2020-10-17 17:21:23,"jjvr70 Buenas Tardes, Juan. ¿Qué problema estas presentando? con gusto te asesoramos.",S1Gateway,0,0,asesor,,,,2010-09-06 15:09:31,2987,26722
77,BancoAzteca,2020-10-17 17:15:55,QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Tío me puede reglar uno?🥺,Twitter for iPhone,0,0,,,,,2019-01-10 04:57:58,54,12
78,BancoAzteca,2020-10-17 17:14:51,"BancoAzteca buen dia, Esta fallando la aplicación para envio a otras cuentas...ojala se restablezca pronto!",Twitter for Android,0,0,cuenta,,,,2013-02-27 22:37:44,86,6
79,BancoAzteca,2020-10-17 17:07:03,"Te hemos visto crecer en todos los aspectos de tu vida, EdgarZaldivarV... 🤩  Esperamos con ansias tu regreso a las canchas. Por hoy, La Fiel y BancoAzteca te desean un muy feliz cumpleaños!!! 🥳  LateConFuria 🔴⚫️ https://t.co/jpYprNK3wP",Twitter Web App,1,0,,,,,2018-03-19 15:29:07,501,48
80,BancoAzteca,2020-10-17 16:47:20,"A pesar de la crisis actual, BancoAzteca cuenta con una cobranza sana y  mantiene una situación financiera estable, Revive la entrevista con Alejandro Valenzuela, director del banco  889Noticias rominarr  LaVillegas1 MarielenaVega  https://t.co/ifDgjFqyOz",Twitter for iPhone,1,0,"cuenta,banco,crisis",,,,2009-12-23 07:40:19,3108,4059
81,BancoAzteca,2020-10-17 16:46:24,atlasfc EdgarZaldivarV BancoAzteca Qué chingados le han visto crecer si llego de 17 años a las FB de Atlas,Twitter for iPhone,0,0,,,,,2018-01-31 15:02:16,819,30
84,BancoAzteca,2020-10-17 15:59:50,RicardoBSalinas No se le olvide pagar la factura por concepto de renta de ItalicaSilao filial De BancoAzteca que se le debe a Una persona de la tercera edad que se la rentó de buena fe ! https://t.co/EBJoKDMhvx,Twitter for iPhone,0,0,,,,,2009-06-04 00:59:59,1430,1117
85,BancoAzteca,2020-10-17 15:58:05,"Hoy abre las puertas por primera vez el Kraken del MazatlanFC. Esperemos que sea de su agrado, que disfruten y respeten las reglas.  Gracias por los nuevos Jerseys para la familia. 🤩😍 si dios quiere ahí estaremos. BancoAzteca RicardoBSalinas suerte PuroSinaloa 👊🏼 https://t.co/4BBPEogGFI",Twitter Web App,35,0,,,,,2020-07-13 15:29:38,616,163
86,BancoAzteca,2020-10-17 15:55:24,La bienestarmx  Realiza la dispersión en automático a la cuenta de los beneficiariios administrados por  BancoAzteca  Y éste te realiza la gestión y te obliga a contratar otros servicios que no solicitaste y aparte te abona tu crédito 7 días de$pue$,Twitter for Android,0,0,"cuenta,servicio,servicio",,,,2016-07-26 00:38:16,2187,1191
87,BancoAzteca,2020-10-17 15:52:34,"atlasfc BancoAzteca Y ustedes creen que este chaparro pecho frío de LuchoAcosta94 siente esa pasión ??, Que equivocados están !!!",Twitter for Android,0,0,,,,,2015-04-21 17:26:04,60,5
90,BancoAzteca,2020-10-17 15:42:30,Negociazo con los créditos a la palabra otorgados por la Secretaría de Economía y Secretaría del Bienestar  Administrados por  BancoAzteca,Twitter for Android,0,0,,,,,2016-07-26 00:38:16,2187,1191
91,BancoAzteca,2020-10-17 15:38:26,Ven con nosotros a disfrutar de los sueños de Vincent plasmados en obras inmortales. VanGoghAliveMX presentado por BancoAzteca. SueñasDecidesLogras   Compra tus boletos en https://t.co/kVwWU3nRNs https://t.co/4NPGKbFWs8,Twitter for iPhone,1,0,,,,,2020-06-20 05:42:30,192,28
93,BancoAzteca,2020-10-17 15:07:03,"tewtus64 con gusto te apoyamos reportando esta situación, para este proceso te pedimos nos apoyes con un mensaje directo. Muchas gracias por contactarnos.",S1Gateway,0,0,,,,,2010-09-06 15:09:31,2987,26722
94,BancoAzteca,2020-10-17 14:59:36,atlasfc BancoAzteca El enemigo de mi enemigo es mi amigo. 💪🏻 A darle en la madre a esos creciditos https://t.co/Y1iox6LF1f,Twitter for iPhone,0,0,,,,,2016-03-02 22:07:12,1269,148
102,BancoAzteca,2020-10-17 14:27:20,atlasfc BancoAzteca Simplemente metan huevos lo único que se les pide es que representen dignamente a la institución y afición y defiendan la camiseta a muerte ya si se gana  o se pierde es cosa del fútbol pero que no quede por actitud de los jugadores ánimo y MIL VECES ARRIBA EL ATLAS!!!,Twitter for iPhone,0,0,,,,,2011-05-13 14:46:40,180,3
103,BancoAzteca,2020-10-17 14:26:18,"Banorte_mx Hice todo el protocolo mandé documentos espere mucho tiempo el fallo de sus ""investigaciones"" y al final fallaron en contra mía ahhh y aparte voy a pagar la multa por la investigación son un fiasco de corporativo bancario BancoAzteca me lo soluciono al instante el problema",Twitter for Android,0,0,,,,,2020-06-01 03:57:31,43,2
104,BancoAzteca,2020-10-17 14:24:45,BancoAzteca Cajero autimático o19468 ñunca funciona,Twitter for Android,0,0,,,,,2017-09-18 21:12:19,301,18
