,fecha,texto,src,rt,fav
51,2020-10-17 03:30:55,"@bbva_peru @HenrryVillar Tarde, no??",Twitter for Android,0,4
52,2020-10-17 03:30:40,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter Web App,14,0
53,2020-10-17 03:30:35,@BBVA_Colombia cómo estás porque medio puedo colocar una queja del SAE ?,Twitter for Android,0,0
54,2020-10-17 03:30:00,"El banco @bbva lanzó una nueva tarjeta que ha causado sensación por su diseño 😱 Te contamos todos los detalles 💳  
  https://t.co/Oum40O4sIm",TweetDeck,1,3
55,2020-10-17 03:28:48,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter Web App,14,0
56,2020-10-17 03:28:16,"@paolobenza Soy microempresario, tenemos una cuenta @bbva_peru + de 12 años, solicité el crédito Reactiva con mi sectorista en 2 oportunidades y fueron denegadas a pesar de cumplir con los requisitos, pedí las razones y en vez de respuestas me ofrecieron otro productos de capital de trabajo. https://t.co/gkPS6WS1Po",Twitter for Android,9,0
57,2020-10-17 03:28:07,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/JvS3N2may1 a través de @julioastillero,Twitter for Android,63,0
58,2020-10-17 03:28:07,"@paolobenza @nando360 Me pasó en BBVA: Finanzas de la empresa limpias, sin deuda, apto según Sunat e hice 4 solicitudes sin respuesta.

Cuando fui a plataforma me dijeron que “solo otorgaban Crédito Reactiva si tenía deuda previa para así refinanciarla, que si quería, podía acceder a crédito regular”.",Twitter for Android,2,0
59,2020-10-17 03:27:16,"@paolobenza Soy microempresario, tenemos una cuenta @bbva_peru + de 12 años, solicité el crédito Reactiva con mi sectorista en 2 oportunidades y fueron denegadas a pesar de cumplir con los requisitos, pedí las razones y en vez de respuestas me ofrecieron otro productos de capital de trabajo. https://t.co/gkPS6WS1Po",Twitter for Android,9,0
60,2020-10-17 03:26:58,"Pago una docena de chorizos a quien me de un teléfono y me atienda de una el reputo BBVA con todos sus toquen, numerales y 0800 diseñados por un sovietico hdp",Twitter for Android,260,0
61,2020-10-17 03:26:15,"Panas hoy me llamaron del @BBVA_Colombia a preguntarme que cómo estaba mi situación financiera,  que si deseaba ampliar el plazo de congelamiento del crédito hipotecario, gracias.",Twitter for Android,0,0
62,2020-10-17 03:25:28,"El Kraken ya puso más ambiente en 5 minutos que el BBVA en todo el 2020.

Datos, no opiniones. @migangelgarzam @IngRodriguezM",Twitter for Android,5,0
63,2020-10-17 03:25:06,"@BBVARe_mx Buenas noches, desde la tarde no he podido ingresar a la aplicación de BBVA. Me pide volverme a registrar, lo he tratado de hacer pero se queda pasmada despues de ingresar mis datos. Ya desinstale e instale la aplicación, ¿qué se hace?",Twitter Web App,0,0
64,2020-10-17 03:24:42,"@BellanoLibertad @josuepp24 @MavilaHuertasC @elcomercio_peru La investigación y la reconstrucción de los hechos en el BBVA determinará cómo se entregó el dinero o no.
Tranquilo , guarde fruta",Twitter for Android,0,0
65,2020-10-17 03:24:28,"@ducktales1933 @BBVARe_mx @gaby_cam @bbva @CondusefMX De hecho no s obligatorio, puedes no usar el reconocimiento facial y así no autorizas nada.",Twitter for iPhone,0,0
66,2020-10-17 03:24:12,"Serán famosos para BBVA, solo digo.",Twitter for iPhone,0,0
